,Unnamed: 0,Country,Rank,HappinessScore,Family,GDP,HealthLifeExpectancy,Freedom,Trust_GovCorruption,Generosity,Year,Trust_GovCorruptionlog,Generositylog,continent_Africa,continent_Asia,continent_Australia,continent_Europe,continent_North_America,continent_South_America
57,57,Peru,58,5.824,0.97459,0.9001899999999999,0.73017,0.4149600000000001,0.05989,0.14982,2015,-2.815245732705766,-1.8983207054624,0,0,0,0,0,1
58,58,Belarus,59,5.813,1.23289,1.0319200000000002,0.7360800000000001,0.37938,0.1909,0.11046,2015,-1.6560055482504352,-2.2031018145090955,0,0,0,1,0,0
59,59,Poland,60,5.791,1.27948,1.12555,0.77903,0.53122,0.04212,0.16759000000000002,2015,-3.1672325917163624,-1.7862347585853549,0,0,0,1,0,0
60,60,Malaysia,61,5.77,1.07023,1.12486,0.7239399999999999,0.5302399999999999,0.10501,0.33075,2015,-2.253699695264235,-1.106392475987072,0,1,0,0,0,0
61,61,Croatia,62,5.759,0.79624,1.08254,0.78805,0.25883,0.0243,0.05444,2015,-3.7172789286356345,-2.910656101198872,0,0,0,1,0,0
62,62,Libya,63,5.754,1.1186200000000002,1.13145,0.7038,0.41668,0.11023,0.18295,2015,-2.205186187006913,-1.6985423875169212,1,0,0,0,0,0
63,63,Russia,64,5.716,1.23617,1.13764,0.6692600000000001,0.36679,0.03005,0.00199,2015,-3.5048926180009206,-6.219620640245736,0,0,0,1,0,0
64,64,Jamaica,65,5.709,1.1510200000000002,0.81038,0.6874100000000001,0.50442,0.02299,0.2123,2015,-3.772695940207047,-1.5497549102729267,0,0,0,0,1,0
65,65,North Cyprus,66,5.695,1.07008,1.20806,0.92356,0.49027,0.1428,0.26169000000000003,2015,-1.946310229076653,-1.3405946818689,0,0,0,1,0,0
66,66,Cyprus,67,5.689,0.89318,1.20813,0.92356,0.40672,0.06146,0.30638000000000004,2015,-2.7893687222797983,-1.1829291173975869,0,0,0,1,0,0
67,67,Algeria,68,5.605,1.07772,0.93929,0.61766,0.28579,0.17382999999999998,0.07822,2015,-1.7496774688486882,-2.548229909654769,1,0,0,0,0,0
68,68,Kosovo,69,5.589,0.81198,0.80148,0.63132,0.24749,0.04741,0.2831,2015,-3.04892210206811,-1.261955086864283,0,0,0,1,0,0
69,69,Turkmenistan,70,5.547999999999999,1.22668,0.95847,0.53886,0.4761,0.30844,0.16979,2015,-1.1762279440173773,-1.7731928996542166,0,1,0,0,0,0
70,70,Mauritius,71,5.477,0.98521,1.00761,0.7095,0.56066,0.07521,0.37744,2015,-2.5874710781438255,-0.9743436633227721,1,0,0,0,0,0
71,71,Hong Kong,72,5.474,1.05818,1.38604,1.01328,0.59608,0.37124,0.39478,2015,-0.9909065252549449,-0.9294266312672956,1,0,0,0,0,0
72,72,Estonia,73,5.4289999999999985,1.22791,1.15174,0.77361,0.44888,0.15184,0.0868,2015,-1.8849279441205193,-2.4441486573158326,0,0,0,1,0,0
73,73,Indonesia,74,5.399,1.0870799999999998,0.8282700000000001,0.63793,0.46611,0.0,0.51535,2015,0.0,-0.6629089974993354,0,1,0,0,0,0
74,74,Vietnam,75,5.36,0.91226,0.63216,0.7467600000000001,0.59444,0.10441,0.1686,2015,-2.259429822680118,-1.780226233414382,0,1,0,0,0,0
75,75,Turkey,76,5.332000000000002,0.94632,1.06098,0.73172,0.22815,0.15746,0.12253,2015,-1.8485838212258159,-2.099399381020782,0,1,0,0,0,0
76,76,Kyrgyzstan,77,5.2860000000000005,1.15115,0.47428,0.65088,0.43477,0.04232,0.3003,2015,-3.162495491432093,-1.2029733039928525,0,1,0,0,0,0
77,77,Nigeria,78,5.268,0.90432,0.65435,0.16007000000000002,0.34334000000000003,0.0403,0.27233,2015,-3.2114038100294997,-1.3007407127672328,1,0,0,0,0,0
78,78,Bhutan,79,5.252999999999999,1.10395,0.77042,0.57407,0.5320600000000001,0.15445,0.47998,2015,-1.8678848596175464,-0.7340108426149468,0,1,0,0,0,0
79,79,Azerbaijan,80,5.2120000000000015,0.93793,1.02389,0.64045,0.3703,0.16065,0.07799,2015,-1.8285271934202696,-2.5511746656397305,0,1,0,0,0,0
80,80,Pakistan,81,5.194,0.41411,0.59543,0.51466,0.12102,0.10464,0.33671,2015,-2.2572293912732486,-1.0885332532264453,0,1,0,0,0,0
81,81,Jordan,82,5.192,1.05392,0.90198,0.69639,0.40661,0.14293,0.11053,2015,-1.9454002790611131,-2.202468301659273,0,1,0,0,0,0
82,82,Montenegro,82,5.192,0.90557,0.97438,0.72521,0.1826,0.14296,0.1614,2015,-1.9451904081309643,-1.8238695231462887,0,0,0,1,0,0
83,83,China,84,5.14,0.94675,0.89012,0.81658,0.5169699999999999,0.02781,0.08185,2015,-3.5823596107362636,-2.5028669751649932,0,1,0,0,0,0
84,84,Zambia,85,5.129,0.91612,0.47038,0.29924,0.48827,0.12468,0.19591,2015,-2.082004824083001,-1.6300999088821961,1,0,0,0,0,0
85,85,Romania,86,5.124,0.8858799999999999,1.04345,0.7689,0.35068,0.006490000000000001,0.13748,2015,-5.037492748266138,-1.984276827000504,0,0,0,1,0,0
86,86,Serbia,87,5.122999999999998,1.00964,0.92053,0.74836,0.20107,0.02617,0.19231,2015,-3.6431415624400825,-1.648646625659381,0,0,0,1,0,0
87,87,Portugal,88,5.102,1.13935,1.15991,0.8751899999999999,0.51469,0.01078,0.13719,2015,-4.530062713501286,-1.9863884526440634,0,0,0,1,0,0
88,88,Latvia,89,5.098,1.09562,1.11312,0.72437,0.29671,0.06332,0.18226,2015,-2.7595540439693256,-1.7023210399141562,0,0,0,1,0,0
89,89,Philippines,90,5.073,1.03516,0.70532,0.58114,0.62545,0.12279,0.24991,2015,-2.097279699809716,-1.3866544259354467,0,1,0,0,0,0
90,90,Somaliland region,91,5.057,0.95152,0.18847,0.43873,0.46582,0.39928,0.5031800000000001,2015,-0.9180923538207831,-0.6868073200137654,1,0,0,0,0,0
91,91,Morocco,92,5.013,0.64095,0.7347899999999999,0.60954,0.4169100000000001,0.08546000000000001,0.07172,2015,-2.459706848766258,-2.634985630245205,1,0,0,0,0,0
92,92,Macedonia,93,5.007,1.00232,0.91851,0.73545,0.33457,0.053270000000000005,0.22359,2015,-2.932381958053229,-1.4979412614204248,0,0,0,1,0,0
93,93,Mozambique,94,4.971,1.02626,0.08308,0.09131,0.34037,0.15603,0.22269,2015,-1.8577069825290462,-1.5019746091845718,1,0,0,0,0,0
94,94,Albania,95,4.959,0.8043399999999999,0.8786700000000001,0.81325,0.35733000000000004,0.06412999999999999,0.14272,2015,-2.7468430058213658,-1.9468706101504376,0,0,0,1,0,0
95,95,Bosnia and Herzegovina,96,4.949,0.91916,0.8322299999999999,0.79081,0.09245,0.00227,0.24808,2015,-6.087975447488826,-1.3940040041899435,0,0,0,1,0,0
96,96,Lesotho,97,4.898,1.04103,0.37545,0.07612000000000001,0.31767,0.12504,0.16388,2015,-2.079121592868916,-1.8086208263034667,1,0,0,0,0,0
97,97,Dominican Republic,98,4.885,1.17202,0.8953700000000001,0.66825,0.57672,0.14234000000000002,0.21684,2015,-1.9495367171110118,-1.5285955245899996,0,0,0,0,1,0
98,98,Laos,99,4.876,0.73803,0.5906600000000001,0.54909,0.59591,0.24249,0.42192,2015,-1.4167948065682743,-0.8629395563771605,1,0,0,0,0,0
99,99,Mongolia,100,4.874,1.3006,0.82819,0.60268,0.43626,0.026660000000000003,0.3323,2015,-3.624590964231574,-1.1017171036215885,0,1,0,0,0,0
100,100,Swaziland,101,4.867,1.07284,0.71206,0.07566,0.30658,0.0306,0.18259,2015,-3.486755270023802,-1.7005120768334954,1,0,0,0,0,0
101,101,Greece,102,4.857,0.92933,1.15406,0.88213,0.07699,0.013969999999999998,0.0,2015,-4.270843105713267,0.0,0,0,0,1,0,0
102,102,Lebanon,103,4.839,0.80001,1.02564,0.83947,0.33916,0.04582,0.21854,2015,-3.0830346019567876,-1.5207862148395377,0,1,0,0,0,0
103,103,Hungary,104,4.8,1.20215,1.12094,0.75905,0.32112,0.02758,0.128,2015,-3.5906644066169813,-2.05572501506252,0,0,0,1,0,0
104,104,Honduras,105,4.788,0.95348,0.59532,0.6951,0.40148,0.06825,0.23027,2015,-2.684577844917068,-1.468502745512609,0,0,0,0,1,0
105,105,Tajikistan,106,4.7860000000000005,0.8556299999999999,0.39047,0.5737899999999999,0.47216,0.15072,0.22974,2015,-1.8923314681540842,-1.4708070442648788,0,1,0,0,0,0
106,106,Tunisia,107,4.739,0.60429,0.88113,0.73793,0.26268,0.06358,0.06431,2015,-2.7554563234994807,-2.744040138835365,1,0,0,0,0,0
107,107,Palestinian Territories,108,4.715,0.92558,0.59867,0.66015,0.24499,0.12905,0.11251,2015,-2.0475553528175143,-2.1847131723991566,0,1,0,0,0,0
108,108,Bangladesh,109,4.694,0.4310600000000001,0.39753,0.60164,0.4082,0.12569,0.21222,2015,-2.073936721045391,-1.550131806536693,0,1,0,0,0,0
109,109,Iran,110,4.686,0.54447,1.0088,0.69805,0.30033000000000004,0.05863,0.38086,2015,-2.8365087680060133,-0.9653234254514665,0,1,0,0,0,0
110,110,Ukraine,111,4.681,1.20278,0.79907,0.6739,0.25123,0.02961,0.15275,2015,-3.519643136868637,-1.8789526809304324,0,0,0,1,0,0
111,111,Iraq,112,4.677,0.81889,0.98549,0.60237,0.0,0.13788,0.17922000000000002,2015,-1.9813715373334724,-1.7191411775260634,0,1,0,0,0,0
112,112,South Africa,113,4.642,1.18468,0.92049,0.27688,0.33207,0.08884,0.11973,2015,-2.4209182799559104,-2.1225160712533846,1,0,0,0,0,0
113,113,Ghana,114,4.633,0.6795399999999999,0.5455800000000001,0.40132,0.42342,0.04355,0.23087,2015,-3.133845575683625,-1.4659004974379042,1,0,0,0,0,0
114,114,Zimbabwe,115,4.61,1.03276,0.271,0.33475,0.25861,0.08079,0.18987,2015,-2.51590208349052,-1.6614156515268133,1,0,0,0,0,0
115,115,Liberia,116,4.5710000000000015,0.78968,0.0712,0.34201,0.28531,0.062320000000000014,0.24362,2015,-2.775472877419644,-1.4121456447103242,1,0,0,0,0,0
116,116,India,117,4.565,0.38174,0.64499,0.5152899999999999,0.39786,0.08492000000000001,0.26475,2015,-2.4660456421470816,-1.3289692945006213,0,1,0,0,0,0
117,117,Sudan,118,4.55,1.01404,0.52107,0.36878,0.10081,0.1466,0.19062,2015,-1.9200474895295858,-1.6574733614726571,1,0,0,0,0,0
118,118,Haiti,119,4.518,0.74302,0.26673,0.38847,0.24425,0.17175,0.46187,2015,-1.7617153478796783,-0.7724718127780498,0,0,0,0,1,0
119,119,Congo (Kinshasa),120,4.517,1.0012,0.0,0.09806,0.22605,0.07625,0.24834,2015,-2.573737863494616,-1.392956503993441,1,0,0,0,0,0
120,120,Nepal,121,4.5139999999999985,0.86449,0.35997,0.5687399999999999,0.38282,0.05907,0.32296,2015,-2.829032097662993,-1.1302268024374515,0,1,0,0,0,0
121,121,Ethiopia,122,4.512,0.60406,0.19073,0.44055,0.4345,0.15048,0.24325,2015,-1.8939250939893622,-1.4136655579160227,1,0,0,0,0,0
122,122,Sierra Leone,123,4.507,0.95571,0.33024000000000003,0.0,0.4084,0.08786000000000001,0.21488,2015,-2.4320106404345037,-1.5376755462072096,1,0,0,0,0,0
123,123,Mauritania,124,4.436,0.86908,0.45407,0.35874,0.24232,0.17461,0.219,2015,-1.745200363448101,-1.5186835491656363,1,0,0,0,0,0
124,124,Kenya,125,4.419,0.99876,0.36471,0.41435,0.42215,0.05839,0.37542,2015,-2.840610636686691,-0.97970987974381,1,0,0,0,0,0
125,125,Djibouti,126,4.369,0.59207,0.44025,0.36291,0.46074,0.28105,0.18093,2015,-1.269222689534053,-1.709645062851132,1,0,0,0,0,0
126,126,Armenia,127,4.35,0.7771100000000001,0.7682100000000001,0.7299,0.19847,0.039,0.07855,2015,-3.2441936328524905,-2.544019914280507,0,1,0,0,0,0
127,127,Botswana,128,4.332,1.10464,0.99355,0.04776,0.49495,0.12474,0.10461,2015,-2.0815237078841604,-2.2575161296264676,1,0,0,0,0,0
128,128,Myanmar,129,4.307,0.70905,0.27108000000000004,0.4824600000000001,0.44017,0.19034,0.79588,2015,-1.6589433323379397,-0.2283068582710898,0,1,0,0,0,0
129,129,Georgia,130,4.297,0.38562,0.7419,0.72926,0.40577,0.38331,0.055470000000000005,2015,-0.9589112177107956,-2.891912944914994,0,1,0,0,0,0
130,130,Malawi,131,4.292,0.41134,0.016040000000000002,0.22562,0.43054,0.06977,0.33128,2015,-2.6625511610309918,-1.1047913397448252,1,0,0,0,0,0
131,131,Sri Lanka,132,4.271,1.01905,0.83524,0.70806,0.5372600000000001,0.09179,0.40828,2015,-2.3882519197511374,-0.8958020654468395,0,1,0,0,0,0
132,132,Cameroon,133,4.252,0.8876700000000001,0.4225,0.23402,0.49309,0.05786,0.20618000000000006,2015,-2.849728979434148,-1.5790057053138982,1,0,0,0,0,0
133,133,Bulgaria,134,4.218,1.10614,1.01216,0.76649,0.30587,0.00872,0.11921,2015,-4.742136041061249,-2.126868635252227,0,0,0,1,0,0
134,134,Egypt,135,4.194,0.747,0.8818,0.61712,0.17288,0.06324,0.11291,2015,-2.760818266640866,-2.1811642377897065,1,0,0,0,0,0
135,135,Yemen,136,4.077,0.68093,0.5464899999999999,0.40064,0.35571,0.07854,0.09131,2015,-2.5441472298322734,-2.393494968353888,0,1,0,0,0,0
136,136,Angola,137,4.033,0.8604,0.75778,0.16683,0.10384000000000003,0.07122,0.12344,2015,-2.6419816011325055,-2.0920000709272317,1,0,0,0,0,0
137,137,Mali,138,3.995,1.03526,0.26074,0.20583,0.38857,0.12352,0.18798,2015,-2.091352192705671,-1.6714197047899817,1,0,0,0,0,0
138,138,Congo (Brazzaville),139,3.989,0.6629,0.67866,0.31051,0.41466,0.11686,0.12388,2015,-2.146778641855846,-2.088441923877135,1,0,0,0,0,0
139,139,Comoros,140,3.956,0.79273,0.23906,0.36315,0.22917,0.199,0.17440999999999998,2015,-1.6144504542576446,-1.74634642970156,1,0,0,0,0,0
